filename, language, JSON, CSS, Markdown, JavaScript, HTML, XML, JavaScript React, comment, blank, total
c:\Users\user\Programming\FirstReactProject\src\components\Profile\ProfileInfo\ProfileStatus\ProfileStatus.module.css, CSS, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
c:\Users\user\Programming\FirstReactProject\src\components\Profile\ProfileInfo\ProfileStatus\ProfileStatusHooks.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 38, 0, 5, 43
c:\Users\user\Programming\FirstReactProject\src\components\Profile\TextAreaPost\TextAreaPost.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 29, 0, 4, 33
c:\Users\user\Programming\FirstReactProject\src\components\Profile\TextAreaPost\TextAreaPost.module.css, CSS, 0, 74, 0, 0, 0, 0, 0, 0, 3, 77
c:\Users\user\Programming\FirstReactProject\src\components\Profile\TextAreaPost\TextAreaPostContainer.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 13, 0, 4, 17
c:\Users\user\Programming\FirstReactProject\src\components\Users\UserBlock\UserBlock.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 71, 0, 2, 73
c:\Users\user\Programming\FirstReactProject\src\components\Users\UserBlock\UserBlock.module.css, CSS, 0, 73, 0, 0, 0, 0, 0, 0, 1, 74
c:\Users\user\Programming\FirstReactProject\src\components\Users\Users.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 39, 0, 3, 42
c:\Users\user\Programming\FirstReactProject\src\components\Users\Users.module.css, CSS, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
c:\Users\user\Programming\FirstReactProject\src\components\Users\UsersContainer.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 69, 0, 1, 70
c:\Users\user\Programming\FirstReactProject\src\components\common\FormsControl\FormsControl.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 20, 0, 2, 22
c:\Users\user\Programming\FirstReactProject\src\components\common\FormsControl\FormsControl.module.css, CSS, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
c:\Users\user\Programming\FirstReactProject\src\components\common\Login\Login.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 67, 0, 4, 71
c:\Users\user\Programming\FirstReactProject\src\components\common\Login\Login.module.css, CSS, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
c:\Users\user\Programming\FirstReactProject\src\components\common\Login\LoginForm.module.css, CSS, 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
c:\Users\user\Programming\FirstReactProject\src\components\common\Prealoader\Prealoader.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
c:\Users\user\Programming\FirstReactProject\src\components\common\Prealoader\Preloader.module.css, CSS, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
c:\Users\user\Programming\FirstReactProject\src\hoc\withAuthRedirect.js, JavaScript, 0, 0, 0, 16, 0, 0, 0, 2, 1, 19
c:\Users\user\Programming\FirstReactProject\src\index.css, CSS, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
c:\Users\user\Programming\FirstReactProject\src\index.js, JavaScript, 0, 0, 0, 17, 0, 0, 0, 3, 3, 23
c:\Users\user\Programming\FirstReactProject\src\logo.svg, XML, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
c:\Users\user\Programming\FirstReactProject\src\redux\appReducer.js, JavaScript, 0, 0, 0, 26, 0, 0, 0, 0, 7, 33
c:\Users\user\Programming\FirstReactProject\src\redux\authReducer.js, JavaScript, 0, 0, 0, 48, 0, 0, 0, 0, 6, 54
c:\Users\user\Programming\FirstReactProject\src\redux\dialogsReducer.js, JavaScript, 0, 0, 0, 34, 0, 0, 0, 2, 4, 40
c:\Users\user\Programming\FirstReactProject\src\redux\profileReducer.js, JavaScript, 0, 0, 0, 73, 0, 0, 0, 2, 6, 81
c:\Users\user\Programming\FirstReactProject\src\redux\redux-store.js, JavaScript, 0, 0, 0, 29, 0, 0, 0, 2, 7, 38
c:\Users\user\Programming\FirstReactProject\src\redux\selectors\users-selectors.js, JavaScript, 0, 0, 0, 22, 0, 0, 0, 2, 2, 26
c:\Users\user\Programming\FirstReactProject\src\redux\store.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 59, 6, 65
c:\Users\user\Programming\FirstReactProject\src\redux\usersReducer.js, JavaScript, 0, 0, 0, 122, 0, 0, 0, 0, 7, 129
c:\Users\user\Programming\FirstReactProject\src\serviceWorker.js, JavaScript, 0, 0, 0, 92, 0, 0, 0, 31, 13, 136
c:\Users\user\Programming\FirstReactProject\src\utilities\validators.js, JavaScript, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
Total, -, 13684, 603, 37, 591, 23, 7, 748, 225, 219, 16137
